county,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,california_flag,booster_recip_count,cumulative_booster_recip_count
All CA Counties,2022-01-04,123963,64320071,60545,36268333,43584,24316812,2277,2114916,22745,2943101,18612,26494930,24721,29438031,,81906,10286391
All CA and Non-CA Counties,2022-01-04,124991,65386357,60996,36809822,44088,24766022,2306,2179946,23257,3161665,18710,26888311,25251,30049976,,81906,10286391
Alpine,2022-01-04,0,1807,0,67,0,1729,0,7,0,122,0,717,0,839,,0,232
Outside California,2022-01-04,1024,1061184,449,538308,502,447659,29,64825,510,217544,97,391491,528,609035,Not in California,412,116821
Unknown,2022-01-04,4,5102,2,3181,2,1551,0,205,2,1020,1,1890,2,2910,Not in California,1,544
Alameda,2022-01-04,8759,3183184,4487,1949263,2918,978700,123,129734,1330,103787,1188,1295708,1355,1399495,California,6188,591900
Amador,2022-01-04,90,50885,31,14762,47,33948,6,1809,15,3769,12,20014,19,23783,California,57,7223
Butte,2022-01-04,278,266833,61,130420,183,122873,4,9761,46,10708,37,110713,46,121421,California,195,42723
Calaveras,2022-01-04,51,59446,29,25228,20,32200,0,1716,6,4067,1,23516,6,27583,California,40,8349
Colusa,2022-01-04,40,27663,7,8314,25,17966,0,1111,10,1416,7,12180,10,13596,California,23,2827
Contra Costa,2022-01-04,5695,2228056,3105,1447030,1533,641728,66,63002,945,63407,760,905666,961,969073,California,3966,405060
Del Norte,2022-01-04,40,29922,14,11522,23,16320,2,1577,4,1689,3,12448,4,14137,California,33,4506
El Dorado,2022-01-04,491,277581,178,134442,264,128428,8,9801,64,11443,62,112738,65,124181,California,359,48588
Fresno,2022-01-04,2891,1363947,1233,744574,950,542630,63,44208,595,68095,587,569996,618,638091,California,1637,186891
Glenn,2022-01-04,41,34286,13,15819,20,16297,1,1710,3,1500,13,14749,4,16249,California,25,4704
Humboldt,2022-01-04,247,207530,66,103597,137,89833,8,9255,44,8374,30,85339,47,93713,California,172,35808
Imperial,2022-01-04,1120,356810,700,183484,157,135440,46,21760,440,45532,232,146702,477,192234,California,441,35905
Inyo,2022-01-04,31,27078,9,9924,22,15796,0,712,2,1287,3,10588,2,11875,California,26,4995
Kern,2022-01-04,1667,1046049,693,555858,686,426316,37,42835,368,55823,307,447589,388,503412,California,978,129100
Kings,2022-01-04,282,149213,125,72536,100,67140,11,6788,85,9119,52,63596,89,72715,California,144,18356
Lake,2022-01-04,131,79420,58,26681,68,48789,1,3408,24,4098,16,33579,24,37677,California,90,10875
Lassen,2022-01-04,43,19231,2,3682,41,13708,0,1739,2,917,5,8493,2,9410,California,36,2767
Los Angeles,2022-01-04,31544,16869017,15092,9294807,11135,6607603,679,591706,6307,791522,4563,6943292,6503,7734814,California,20475,2647188
Madera,2022-01-04,497,189026,222,100166,115,77420,13,7078,137,10598,105,79245,141,89843,California,245,24972
Marin,2022-01-04,1177,559972,667,331669,436,189716,14,15070,99,16669,83,219110,101,235779,California,986,116842
Mariposa,2022-01-04,39,19511,13,4497,20,13955,5,772,13,3559,3,7295,16,10854,California,21,1718
Mendocino,2022-01-04,90,140146,41,75020,33,58720,4,4450,14,6956,18,56606,14,63562,California,58,23279
Merced,2022-01-04,422,323961,241,194062,110,112058,21,11638,112,32097,89,131557,122,163654,California,203,30046
Modoc,2022-01-04,27,8424,1,1445,20,6376,6,552,3,276,7,3596,5,3872,California,16,1419
Mono,2022-01-04,77,22011,39,12177,24,8714,0,441,19,912,8,8864,19,9776,California,50,3623
Monterey,2022-01-04,1022,704013,346,337980,476,321999,9,25773,203,34342,187,294097,209,328439,California,623,101832
Napa,2022-01-04,451,256254,217,135595,176,108056,11,6985,71,11642,46,102987,74,114629,California,331,43981
