Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5PlusPop_Pct_UR_Equity,Booster_Doses,Booster_Doses_18Plus,Booster_Doses_50Plus,Booster_Doses_65Plus,Booster_Doses_Vax_Pct,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus_Vax_Pct
1/6/2022,50001,1,Addison County,VT,68.5,"25,197","24,121",73.3,"22,488",73.2,"6,686",88,73.7,28365,77.1,27036,82.2,25286,82.3,7210,94.9,A,4,4,4,4,Non-metro,8,8,8,8,28362,80.5,25197,71.6,4,8,14088,13831,9240,5263,55.9,61.5,73,78.7
1/6/2022,50003,1,Bennington County,VT,41.6,"14,773","14,189",45.3,"13,146",45.5,"4,709",56.8,73.7,17248,48.6,16497,52.7,15342,53.2,5276,63.7,B,7,7,7,7,Non-metro,7,7,7,7,17246,51,14772,43.7,7,7,7562,7437,5594,3363,51.2,56.6,65.4,71.4
1/6/2022,50005,1,Caledonia County,VT,35,"10,510","10,156",38.4,"9,466",39,"3,160",47.8,73.7,12478,41.6,12024,45.5,11265,46.4,3710,56.1,B,6,6,6,6,Non-metro,6,6,6,6,12477,43.7,10509,36.8,6,6,4752,4705,3449,2093,45.2,49.7,59.3,66.2
1/6/2022,50007,1,Chittenden County,VT,71.3,"116,763","111,220",76.5,"103,596",76.6,"22,739",89.2,73.7,132899,81.1,126021,86.7,117671,87,24487,95,A,4,4,4,4,Metro,4,4,4,4,132859,85,116757,74.7,4,4,61710,60667,34443,18383,52.9,58.6,72.2,80.8
1/6/2022,50009,1,Essex County,VT,38.6,"2,380","2,331",42.5,"2,193",42.9,840,51.4,73.7,3260,52.9,3187,58.2,3021,59.1,1215,74.3,A,2,3,3,3,Non-metro,6,7,7,7,3260,55.4,2380,40.4,3,7,752,746,600,373,31.6,34,38.4,44.4
1/6/2022,50011,1,Franklin County,VT,35.4,"17,496","16,822",39.8,"15,553",40.3,"4,091",49.6,73.7,19789,40.1,18885,44.7,17465,45.3,4285,52,A,2,2,3,2,Metro,2,2,3,2,19789,42.5,17496,37.6,2,2,8069,7993,5673,3144,46.1,51.4,65.2,76.9
1/6/2022,50013,1,Grand Isle County,VT,77.7,"5,619","5,423",84.9,"5,110",86.1,"1,719",95,73.7,6387,88.3,6144,95,5804,95,1894,95,A,4,4,4,4,Metro,4,4,4,4,6387,92.6,5619,81.4,4,4,2932,2898,2199,1271,52.2,56.7,66.7,73.9
1/6/2022,50015,1,Lamoille County,VT,60.1,"15,252","14,672",66.6,"13,629",67.3,"3,900",85.9,73.7,18242,71.9,17370,78.9,16157,79.8,4353,95,A,4,4,4,4,Non-metro,8,8,8,8,18238,75.8,15252,63.4,4,8,7737,7648,5217,2999,50.7,56.1,68,76.9
1/6/2022,50017,1,Orange County,VT,50.5,"14,593","14,083",55.2,"13,116",55.4,"4,083",64.1,73.7,18184,62.9,17498,68.6,16414,69.4,5068,79.6,A,4,4,4,3,Non-metro,8,8,8,7,18182,66,14593,53,4,8,6315,6248,4554,2695,43.3,47.6,57.1,66
1/6/2022,50019,1,Orleans County,VT,56.2,"15,191","14,794",62.5,"13,948",64,"4,949",78.7,73.7,17213,63.7,16666,70.4,15716,72.1,5379,85.5,B,8,8,8,8,Non-metro,8,8,8,8,17209,66.9,15191,59,8,8,7272,7211,5594,3597,47.9,51.7,62.6,72.7
1/6/2022,50021,1,Rutland County,VT,67,"38,995","37,808",73.2,"35,619",74.2,"11,846",89.5,73.7,44394,76.3,42894,83,40408,84.2,12998,95,B,8,8,8,8,Non-metro,8,8,8,8,44387,79.8,38995,70.1,8,8,19495,19301,14375,8537,50,54.2,64.4,72.1
1/6/2022,UNK,1,Unknown County,VT,0,"127,817","122,377",0,"113,830",0,"32,830",0,73.7,144714,0,137774,0,128273,0,37326,0,,,,,,,,,,,144683,0,127814,0,,,67411,66492,46615,26563,52.7,58.4,69.9,80.9
1/6/2022,50023,1,Washington County,VT,45.6,"26,630","25,299",49.1,"23,486",49.3,"6,797",57.7,73.7,30181,51.7,28602,55.5,26621,55.9,7339,62.3,A,3,3,3,3,Non-metro,7,7,7,7,30176,54.2,26630,47.8,3,7,15041,14711,9595,5359,56.5,62.6,72.1,78.8
1/6/2022,50025,1,Windham County,VT,65.4,"27,606","26,528",70.9,"24,865",71.5,"8,253",81.8,73.7,33019,78.2,31677,84.6,29621,85.2,9514,94.3,B,8,8,8,8,Non-metro,8,8,8,8,33018,81.8,27606,68.4,8,8,12216,12099,8968,5508,44.3,48.7,58.5,66.7
1/6/2022,50027,1,Windsor County,VT,48.8,"26,845","25,899",53,"24,398",53.9,"8,266",62,73.7,34307,62.3,33062,67.6,31273,69.1,10403,78,A,3,4,4,3,Non-metro,7,8,8,7,34306,65.1,26845,51,4,8,10674,10535,7674,4622,39.8,43.2,50.6,55.9
