,County,a,b,c,phi,percent deviation,"General Gov't (Legislative, Admin, Finance, HR, etc.)","Protection (Sheriff, Jail, Inspection, etc)",Public Assistance,"Health, Mental Health, Substance Abuse, Public Health","Roads, Facilities, and Sanitation","Libraries, Education, Recreation, Culture",Debt - Principal & Interest,Property Taxes,Local Sales and In-Lieu Tax,Transient Occupancy Tax,Charges for Services,"Fines, Forfeitures, Penalties","Licenses, Permits, Franchises",Total Wages (2018),Total Retirement and Health Costs (2018),Gross Domestic Product (2018),Median Household Income (2017),Net Taxable Assessed Value (2018-19),Felony Probation (2018),PRCS (2018),Mandatory Supervision (Split Sentence) (2018),Incarcerated from County (2018),Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019),Violent Crimes (2018),Property Crimes (2018),Housing Units: Single Family (January 2019),Housing Units: Multi-Family (January 2019),Housing Units: Mobile Homes (January 2019),CalWORKs: Total Cases (May 2019),CalWORKs: Child-Only Cases (May 2019),CalWORKs: Children in All Cases (May 2019),CalWORKs: Adults in All Cases (May 2019),CalFresh: Applications Received (May 2019),CalFresh: Cases (May 2019),General Relief: Cases (April 2019),General Relief: People (April 2019),General Relief: Amount (April 2019),,,,,,Population (January 2019)
0,Alameda,552.5634698,80472.66165,32737.22718,86339.13345,0.000824891,142729681,734875595,729546637,788993563,48899619,30350182,157230171,720609543,24309695,1068501,350340606,37789545,11371630,894589034,361784974,1.44E+11,95600,2.92E+11,8336,399,39,613,4849,443972,192977,391815,69855,13634,562667,113908,235459,1078207,252195,9948,58856,365797,232321,7859,9094,5497,15994,2943,8074,55192,8997,9099,3130845,,,0.0572,1.34333E+11,2.66E+17,1669301
1,Amador,677.1591592,1645.558608,2018.25676,3635.5578,0.001031138,7839042,31270379,13511403,10118155,7297468,1175318,699052,20905292,2952716,265862,10090200,516794,1199091,29873226,7528900,1864239000,60588,5317153000,250,27,7,59,594,454,1024,5311,1021,64,29802,1811,3812,21882,10765,118,596,15545,1310,1423,160,77,264,84,167,1409,0,0,0,,,1.58,63015021.34,8.88E+13,38294
2,Butte,1699.161609,10990.83335,8891.862137,12207.18461,0.00134075,28935557,124608779,129736594,86118962,19441773,3793432,4585105,61375946,5498556,18636,31188528,6480632,3975055,131589455,41824147,10332996000,48634,23284221000,1223,397,167,361,3361,10141,3666,35848,8801,474,166738,15015,31775,138840,43399,1214,5824,55404,19294,10749,2401,1226,4392,1129,2418,15939,357,357,130491,,,0.215,2489050066,2.49E+15,226466
3,Calaveras,1784.415024,2203.249126,2012.186018,2107.624097,0.001670788,16821526,25329062,18615415,14638461,13088903,865248,3884098,18652137,3247321,666779,12556067,1796060,3913061,34324626,8547014,1642450000,58536,7297573000,233,36,12,40,532,589,371,5114,1320,71,36745,2280,4929,23928,13605,197,860,24871,1068,2271,330,168,549,157,297,2601,11,10,3827,,,1.3,99403990.84,1.19E+14,45117
4,Colusa,2104.187851,1224.826154,558.1182318,1922.600454,0.000664383,5747031,20292266,9264642,9259687,8995769,1343564,612103,16927845,1699451,0,1983714,1043870,1544262,22744441,5790432,1721047000,53595,4076114000,145,27,7,29,302,268,166,13215,310,63,8570,1819,4243,13293,3539,57,365,6153,1244,798,107,65,204,35,92,650,10,6,1005,,,2.42,27089480.05,2.62E+13,22117
5,Contra Costa,803.822343,58501.26852,30781.67468,68084.67056,0.000971903,110554746,474808886,487369590,273256118,54283740,28680500,69015490,402613083,14267394,3329887,255521786,30784022,33181461,844616518,405458723,82436416000,95100,2.07E+11,3269,460,316,376,3333,176305,103842,294840,45537,5245,529600,75329,172284,712517,198572,3880,27551,309597,99182,7283,6353,3779,11369,2103,3384,28438,795,809,171128,,,0.0822,67620387755,1.27E+17,1155879
6,Del Norte,82621.35122,2237.047916,2222.796062,1341.299973,0.002863466,7674783,17938450,22319496,10409945,6118648,497300,390377,7220603,1218815,482163,3152864,949970,1007719,20905339,5733620,1046680000,39996,1857462000,185,50,10,52,1854,989,886,5046,1038,29,17460,1758,3884,16575,5085,137,595,7177,1622,2553,529,229,998,364,363,2525,15,15,2509,,,1.46,61297349.95,3E+13,27401
7,El Dorado,768.3507727,9085.898181,6001.429653,9939.017625,0.001194217,43870681,122925779,66352282,34749608,41025376,4773795,0,95473663,12110773,4115402,23866306,4466284,11819192,130801356,41552951,8765718000,78464,33480321000,790,118,77,128,1673,7390,1380,25914,5555,272,148159,9960,26654,112044,41685,475,2864,76620,11242,4125,804,401,1328,379,830,6345,88,129,13038,,,0.409,1743111394,2.89E+15,191848
8,Fresno,1385.185562,47190.4276,38684.59461,101081.8459,0.000742814,45764000,383305000,930656000,931000,46448000,30334000,58089000,232872000,27287000,0,64043000,22178000,10756000,419803181,255580917,47408857000,51452,81738201000,8401,1761,606,1641,6610,97763,49562,537390,19553,1219,309297,92179,190819,609436,128960,5889,27313,234467,84878,14894,21074,12271,45870,8565,7104,87029,2809,2858,623514,,,0.0505,48051228195,5.33E+16,1018241
9,Glenn,7252.589333,1680.875822,1076.920837,2392.203118,0.000928426,6897282,21891712,22077010,16086675,4448263,428809,318389,10853584,1174976,3993,11455931,1222389,1262179,26634167,7813659,1483786000,49979,3310027000,306,34,15,33,483,713,201,11825,532,21,15684,2323,5113,17222,4801,80,603,8194,1591,1525,325,147,598,188,198,1510,27,27,8169,,,1.72,48967274.46,4.24E+13,29132
10,Humboldt,294.4380934,5528.946243,5355.775221,3866.880012,0.002129997,27272710,85539372,106662610,64195093,20954283,5198993,1852234,46614884,17923630,2024834,15408734,3230846,3845169,111400486,33331188,6817827000,46123,13870459000,971,153,144,187,7091,3241,1611,15153,6004,356,102675,8722,19288,82536,25585,571,3957,44868,12128,6142,1270,572,2221,744,2441,12716,249,249,76313,,,0.341,748248881.8,8.45E+14,135333
11,Imperial,66.88710176,3837.596532,10790.13711,27859.70514,0.000359124,21549462,103957630,126688905,88806213,21074834,2097080,6696391,44997565,5073026,3611,56406839,5144631,4739595,100786251,31207736,8444865000,43413,12264446000,1457,122,39,216,1689,2407,4683,156971,1141,96,24470,18393,35545,111975,25544,645,4293,37866,12512,7624,3903,1900,8396,1892,1644,16372,146,116,21831,,,0.228,730164141.8,1.57E+15,190266
12,Inyo,3586.496277,637.1177679,3415.741582,1394.318831,0.001044759,12806801,24523008,8643615,9646197,7463051,1712358,413335,12895156,3970703,3280154,7005596,1962909,925958,26075074,7893170,1346160000,53528,4642511000,271,10,10,21,1802,243,117,3958,495,15,11911,1187,2638,10208,4508,122,394,5863,1081,2588,86,41,176,44,77,939,36,36,10984,,,2.88,11845930.66,1.85E+13,18593
13,Kern,1735.006788,43484.00991,31315.807,96193.52801,0.000640815,94018803,560210753,477787759,223499038,26200212,15114383,62131605,355227099,40095823,2699959,176041041,21574549,27473213,510559841,342569379,49514180000,49904,89360740000,7330,1664,857,1376,6083,36404,49300,476000,17558,1134,331156,82604,173280,556676,105075,5289,30268,221655,54959,23060,17666,10180,38721,5730,7013,65973,445,1406,391198,,,0.0545,39851529658,4.19E+16,916464
14,Kings,1923.937362,7376.252175,9457.770092,22794.60311,0.000799843,18941230,82401250,88034962,32401144,8439829,4576829,4069759,24510319,3584140,301286,12948535,1055443,1489133,82279311,19410844,6145790000,55076,11100761000,1242,264,190,334,1329,5390,9762,82410,3610,275,52306,14171,32935,91541,16435,784,2701,36010,8397,2007,2686,1334,5533,1473,1140,10530,65,65,25762,,,0.358,1133803722,1.3E+15,153710
15,Lake,772.0725786,3161.606204,3252.113568,3423.352643,0.001729981,12450479,37558632,42071576,17661096,4723234,3102534,0,25802273,2986236,480853,8825086,1252620,2707656,45527403,10987213,2423297000,45797,7164525000,582,100,34,130,1654,808,1178,12854,2183,101,46474,4538,9208,36445,15061,338,1341,23756,2756,7897,856,379,1513,466,1300,6446,3,3,698,,,0.704,205728877.3,1.94E+14,65071
16,Lassen,2642.461852,1476.635593,1725.848708,5183.244449,0.000643049,7520602,21988416,15845158,11613626,2560067,203733,300214,8748631,1435911,37955,6726305,1239711,320752,21056955,4973034,1487738000,58776,2343284000,80,16,7,52,845,314,2478,5373,822,151,20577,1844,3457,19950,5309,254,531,9378,1050,2335,357,176,684,195,164,1501,86,64,18677,,,1.95,44520563.12,5.34E+13,30150
17,Los Angeles,1127.526737,534700.1786,229845.4075,1194666.22,0.00045201,1095439726,5733805818,6343134450,4058518801,332826579,518883396,187707597,5779946320,85068704,22404269,1701120726,217923839,74590474,9147927468,2517917760,7.87E+11,64900,1.51E+12,83122,11764,348,10165,20410,1395377,832355,5114541,213250,24597,2724168,714646,1542152,6548834,1519066,58567,237814,1965018,1545580,58300,116847,69036,227722,44581,85989,563259,80870,87579,17368097,,,0.00633,5.48266E+12,6.82E+18,10253716
18,Madera,789.9926022,6594.756919,7073.522027,16385.10398,0.000767554,31661319,77995180,69523097,31657629,11539615,2357443,3255840,45660634,6890539,4714906,26680757,5228926,6625757,81776791,30835124,7201526000,50783,14913377000,2815,242,71,253,1830,2784,5012,92094,2455,112,55965,13309,28477,94956,23510,896,2969,41091,5993,3412,2727,1625,5982,1065,815,10741,93,77,19156,,,0.318,1052101140,1.29E+15,159536
19,Marin,541.9547457,12376.39785,3561.804265,13876.55239,0.000574418,78835728,177219217,82155696,104201695,21427203,40951819,18510111,185277486,17832807,4533806,65124941,9964494,15042094,224706521,73362396,23648191000,112735,78831205000,533,48,54,69,600,15521,7027,44751,7704,459,186587,12991,37403,149241,63014,528,4694,80104,30298,1992,581,305,1009,262,728,5945,574,516,182179,,,0.429,3253495092,7.79E+15,262879
